iter	RMSE
0	1.40813858
1	1.375778079
2	1.344386105
3	1.313944667
4	1.284239376
5	1.255629186
6	1.228168451
7	1.201366332
8	1.175181193
9	1.150528795
10	1.126411795
11	1.103173828
12	1.080974127
13	1.058962611
14	1.03803008
15	1.017190193
16	0.99754027
17	0.9784240169
18	0.9599976459
19	0.9426525684
20	0.9252269984
21	0.9083813651
22	0.891775731
23	0.8764829928
24	0.861403083
25	0.8474447453
26	0.8335528941
27	0.819877599
28	0.8063809009
29	0.7941197382
30	0.7817391795
31	0.7693335726
32	0.7578488692
33	0.7467842984
34	0.7363554924
35	0.7262265548
36	0.7166735433
37	0.7071009072
38	0.6971715686
39	0.6884500485
40	0.6798170685
41	0.6714293136
42	0.6636447426
43	0.6556798318
44	0.6485686155
45	0.6417574535
46	0.6342838191
47	0.6275513061
48	0.6208882384
49	0.6146961688
50	0.6088950329
51	0.6021133929
52	0.5965116989
53	0.5907281635
54	0.5843475954
55	0.5787818773
56	0.5734698693
57	0.5680718812
58	0.5630205426
59	0.5579547325
60	0.5523946398
61	0.547461818
62	0.5430655228
63	0.538731593
64	0.5345757877
65	0.5305777942
66	0.5266943629
67	0.522527766
68	0.5187092374
69	0.5149818173
70	0.5115651519
71	0.5082394353
72	0.504917416
73	0.5020026411
74	0.4984917758
75	0.4957309492
76	0.4923501235
77	0.4889889682
78	0.4864863793
79	0.4833671004
80	0.4801557579
81	0.4775254759
82	0.4751224499
83	0.4730144477
84	0.4707746332
85	0.468594279
86	0.466182306
87	0.4640772138
88	0.4615897454
89	0.4590981348
90	0.4572253212
91	0.4553824448
92	0.4536011097
93	0.4514645287
94	0.4492360288
95	0.4475085142
96	0.4459764446
97	0.4444817636
98	0.4426393218
99	0.4411438345
100	0.4397728097
101	0.4378288471
102	0.4363430633
103	0.4350927992
104	0.4339280068
105	0.4326834494
106	0.43154118
107	0.4303778215
108	0.4290436603
109	0.4280095409
110	0.4264108523
111	0.4253719421
112	0.4240408495
113	0.4229704438
114	0.4218854691
115	0.4209492302
116	0.4200357086
117	0.419141264
118	0.4178751273
119	0.4165564252
120	0.4156200453
121	0.4145932118
122	0.4137854251
123	0.4130472607
124	0.4123553929
125	0.411251729
126	0.4102893086
127	0.4095521953
128	0.4087163649
129	0.4078782455
130	0.4069654009
131	0.4062510531
132	0.405513015
133	0.4047921994
134	0.4038017227
135	0.4029281569
136	0.4018530391
137	0.4012152125
138	0.4004693326
139	0.3994529616
140	0.3985929692
141	0.3979266268
142	0.3974401286
143	0.3967548937
144	0.3960433624
145	0.3954353621
146	0.3948915743
147	0.3940570682
148	0.3933216296
149	0.3927333702
150	0.3921607701
151	0.3916792841
152	0.3909017755
153	0.3903254614
154	0.3897754722
155	0.3892400389
156	0.3887100594
157	0.3878758146
158	0.3874544861
159	0.386977141
160	0.3865252235
161	0.3861135781
162	0.3855833117
163	0.3851953266
164	0.3846987827
165	0.3841679668
166	0.383721342
167	0.3832802508
168	0.3826563282
169	0.38221539
170	0.381550592
171	0.3811391755
172	0.3808208651
173	0.3804176425
174	0.379975111
175	0.3795868989
176	0.3788087901
177	0.3783688763
178	0.3777507347
179	0.3774711164
180	0.3770893825
181	0.376637783
182	0.3762626323
183	0.3759510803
184	0.3756541323
185	0.3753281696
186	0.3749119241
187	0.3745534224
188	0.3742557794
189	0.3739149717
190	0.3736146478
191	0.3732445942
192	0.3729713845
193	0.3725389944
194	0.3721525389
195	0.3719405224
196	0.3716974778
197	0.3714478062
198	0.3709869728
199	0.3703315758
200	0.3700837676
201	0.3697354557
202	0.3694603998
203	0.369129479
204	0.3687864766
205	0.3684494287
206	0.3680982952
207	0.3678180739
208	0.367571309
209	0.3673480892
210	0.3671263035
211	0.3668811992
212	0.3666663232
213	0.366354359
214	0.3661138004
215	0.3657335083
216	0.3654924769
217	0.3652270275
218	0.3649879331
219	0.364754246
220	0.3646034409
221	0.3642799668
222	0.3639813461
223	0.3637345397
224	0.3635752116
225	0.3632235446
226	0.3629105636
227	0.362620297
228	0.3624494412
229	0.3622162626
230	0.3616974223
231	0.3614854038
232	0.3612019154
233	0.3609533972
234	0.3607204289
235	0.3604891705
236	0.3601092073
237	0.3598299145
238	0.359345292
239	0.3591313865
240	0.3589647855
241	0.358643956
242	0.3585038775
243	0.3581391972
244	0.3579837245
245	0.3577911488
246	0.3575919387
247	0.3573200493
248	0.3570531949
249	0.3567732239
