iter	Passed	Remaining
0	34	17178
1	76	19169
2	111	18474
3	149	18492
4	195	19311
5	240	19776
6	277	19513
7	320	19704
8	353	19310
9	384	18845
10	425	18922
11	476	19376
12	524	19664
13	566	19677
14	610	19727
15	649	19636
16	684	19458
17	729	19539
18	764	19362
19	805	19323
20	847	19341
21	893	19413
22	942	19543
23	992	19685
24	1032	19620
25	1078	19664
26	1120	19633
27	1165	19638
28	1211	19679
29	1249	19580
30	1289	19510
31	1334	19514
32	1387	19631
33	1438	19716
34	1482	19693
35	1519	19588
36	1567	19619
37	1609	19572
38	1656	19581
39	1697	19519
40	1744	19526
41	1789	19510
42	1836	19518
43	1877	19462
44	1918	19401
45	1968	19432
46	2012	19394
47	2056	19369
48	2098	19310
49	2144	19304
50	2191	19295
51	2233	19241
52	2280	19231
53	2322	19183
54	2359	19091
55	2413	19138
56	2455	19083
57	2496	19026
58	2541	18996
59	2586	18966
60	2630	18930
61	2676	18905
62	2715	18833
63	2756	18778
64	2799	18737
65	2842	18693
66	2881	18625
67	2920	18556
68	2958	18482
69	2995	18399
70	3039	18367
71	3084	18336
72	3130	18313
73	3169	18248
74	3217	18231
75	3253	18149
76	3303	18146
77	3345	18101
78	3391	18071
79	3431	18016
80	3475	17976
81	3519	17941
82	3553	17851
83	3596	17812
84	3637	17759
85	3674	17687
86	3716	17642
87	3765	17627
88	3802	17557
89	3844	17512
90	3885	17464
91	3934	17446
92	3981	17423
93	4023	17376
94	4069	17349
95	4116	17323
96	4154	17259
97	4199	17225
98	4241	17178
99	4282	17131
100	4323	17080
101	4368	17047
102	4413	17009
103	4454	16962
104	4496	16914
105	4536	16862
106	4578	16817
107	4623	16779
108	4665	16734
109	4708	16692
110	4752	16656
111	4795	16614
112	4841	16581
113	4883	16533
114	4929	16502
115	4969	16450
116	5005	16385
117	5045	16332
118	5090	16296
119	5128	16241
120	5168	16190
121	5215	16160
122	5257	16113
123	5290	16040
124	5323	15970
125	5368	15935
126	5404	15872
127	5444	15822
128	5491	15794
129	5533	15750
130	5572	15697
131	5614	15652
132	5660	15618
133	5703	15578
134	5754	15558
135	5793	15505
136	5826	15439
137	5867	15390
138	5906	15339
139	5938	15270
140	5973	15208
141	6010	15153
142	6048	15099
143	6085	15044
144	6118	14980
145	6155	14925
146	6201	14891
147	6242	14848
148	6281	14796
149	6327	14763
150	6359	14699
151	6391	14634
152	6436	14596
153	6475	14547
154	6515	14501
155	6554	14453
156	6588	14393
157	6628	14347
158	6659	14282
159	6701	14241
160	6739	14190
161	6776	14139
162	6819	14098
163	6855	14045
164	6903	14015
165	6942	13969
166	6971	13902
167	7008	13850
168	7042	13793
169	7084	13752
170	7119	13698
171	7155	13645
172	7195	13600
173	7239	13564
